State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.20477	1.20584	1.20261	1.19866	1.19866	1.19686	1.20477	1.21159	1.21411	1.21985	1.22273	1.21949	1.21482	1.22057	1.22416	1.22380	1.23027	1.23530	1.24859	1.24967	1.25865
2	0.59409	0.59549	0.59654	0.59854	0.59914	0.60119	0.60164	0.60174	0.60345	0.60955	0.61951	0.62416	0.63507	0.64238	0.65054	0.66054	0.67155	0.68186	0.68907	0.69382	0.70118
3	1.89056	1.90273	1.92302	1.92302	1.93519	1.88245	1.89867	1.91085	1.87433	1.83376	1.73234	1.68365	1.57817	1.57817	1.56600	1.56194	1.56194	1.53354	1.50515	1.49703	1.48486
4	3.18223	3.18669	3.19696	3.21527	3.22331	3.21572	3.21661	3.21974	3.22510	3.22956	3.23090	3.19964	3.14561	3.08577	3.03308	2.94689	2.85579	2.76156	2.70217	2.64367	2.58874
5	3.90023	3.97110	3.98123	3.97870	3.98123	3.98376	3.98123	3.92808	3.85974	3.79140	3.61423	3.50793	3.32823	3.28015	3.14347	3.02958	2.93593	2.84988	2.75117	2.62968	2.58666
6	0.84567	0.84257	0.81544	0.78521	0.78133	0.75110	0.73250	0.69917	0.68909	0.65809	0.64568	0.65654	0.67436	0.68134	0.67901	0.69219	0.69374	0.69607	0.71234	0.72165	0.72630
7	2.54121	2.43058	2.47613	2.50541	2.38828	2.41431	2.38177	2.43708	2.33622	2.25813	2.18329	2.11496	2.04338	1.96529	1.84490	1.83513	1.86442	1.90021	1.87743	1.86442	1.79609
8	1.18602	1.21243	1.20227	1.22055	1.23680	1.27132	1.32818	1.36677	1.40739	1.46831	1.48862	1.44597	1.43582	1.39926	1.40942	1.46222	1.47035	1.48659	1.53939	1.54955	1.51502
9	1.24930	1.22848	1.25450	1.25320	1.27272	1.30786	1.26361	1.30786	1.36772	1.34170	1.24930	1.34950	1.37423	1.39375	1.40676	1.38204	1.35991	1.36252	1.32868	1.43279	1.37293
10	3.86554	3.74413	3.59531	3.41123	3.34857	3.27024	3.28591	3.14100	2.98826	2.76502	2.70627	2.67102	2.66319	2.69844	2.80418	2.87860	2.89818	2.92951	2.86685	2.82768	3.01959
