State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.02119	2.00756	1.99488	1.96698	1.90072	1.81162	1.68354	1.52438	1.36807	1.29737	1.27708	1.27105	1.33161	1.39946	1.45748	1.51994	1.57415	1.60871	1.62520	1.64169	1.63852
2	0.67362	0.66302	0.64522	0.61686	0.57570	0.51722	0.45185	0.39036	0.35256	0.33277	0.32530	0.32680	0.33749	0.34964	0.36271	0.38250	0.39964	0.41554	0.42892	0.43899	0.44513
3	0.58727	0.54072	0.52997	0.51923	0.51923	0.51207	0.51207	0.48342	0.48342	0.49058	0.52281	0.52281	0.49416	0.51207	0.50491	0.52639	0.52281	0.52281	0.49775	0.47984	0.49775
4	0.90302	0.84705	0.80054	0.73629	0.66298	0.59282	0.52463	0.46432	0.41663	0.39731	0.39258	0.40362	0.41860	0.43791	0.47220	0.53291	0.61410	0.72092	0.84075	0.95072	1.05477
5	1.27336	1.13932	0.95390	0.83774	0.76402	0.72827	0.68359	0.65902	0.65679	0.69923	0.76625	0.80199	0.80869	0.84667	0.84444	0.86454	1.02986	1.30910	1.64643	2.16471	2.62938
6	1.58658	1.48875	1.31087	1.09467	0.91268	0.72932	0.62054	0.55007	0.49123	0.47413	0.47686	0.46934	0.49192	0.52407	0.61507	0.84221	1.32113	2.00461	2.67304	3.21422	3.61104
7	4.87657	5.46819	6.01674	6.24362	5.86452	4.79041	3.43198	2.67666	2.31479	2.10227	2.12237	2.43254	3.08447	4.39121	7.93520	13.75377	17.92384	19.14155	18.28283	16.44766	14.52058
8	1.45733	1.42328	1.42328	1.50215	1.50573	1.51290	1.55592	1.53621	1.45375	1.24402	1.00741	0.91778	0.85146	0.82815	0.80127	0.82098	0.82995	0.84249	0.85504	0.89627	0.93033
9	2.08363	2.28809	2.61430	3.16335	3.92030	4.73584	5.27914	5.18380	4.45901	4.76455	5.19529	3.43673	2.97497	2.75673	2.70849	2.50059	2.26856	2.01241	1.68735	1.43580	1.31519
10	4.46280	5.41690	6.91026	9.20215	12.99433	18.97123	26.61780	35.34982	43.50800	45.75150	45.58558	50.51160	49.51948	46.55004	40.07534	29.69786	20.04286	12.88025	8.71474	6.14975	4.66676
