State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	9.67923	1.90106	1.11736	0.88895	1.22285	1.27712	1.72198	1.01628
2	69.47900	0.20789	0.51423	0.74910	0.61957	0.32531	0.48674	1.21953
3	0.85699	0.60696	2.01319	0.68274	1.73252	0.52283	0.52650	0.99777
4	7.78566	0.46665	3.42006	2.17183	3.23035	0.39260	0.65381	0.25175
5	1.37370	0.28494	4.80921	2.29179	3.61208	0.76627	0.95663	0.05733
6	4.48545	0.67518	0.84298	2.26705	0.64575	0.47688	1.13710	0.11882
7	1.06854	1.95626	2.06771	2.25038	2.18352	2.12244	6.74133	0.05302
8	1.71199	0.22581	1.22777	1.26338	1.48878	1.00744	1.22396	0.24119
9	2.67169	4.67269	1.39612	0.97814	1.24943	5.19545	3.18850	0.48498
10	0.88774	50.26358	7.51877	1.52868	2.70655	45.58352	22.23695	0.26965
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
