State (Emission order)	H3k36me3	k79me2	k20me1	H3k4me1	H3k27ac	H3k4me2	k04me3	H2az	k27me3	H3k9me3
1	1.1514457198131425E-4	1.0501985661040185E-4	0.00164261492564548	0.001431319762307595	1.354873478908659E-4	6.21885538447904E-4	0.0010609073831812656	0.0056353700961749575	0.11982820969325994	0.007518651535312618
2	5.386671248855144E-4	2.248593168562241E-4	5.496966412212981E-4	2.1654610698182438E-4	2.1527567512211301E-4	3.196708340063001E-17	1.780369284436698E-4	0.0037537421970728654	0.007068263372796207	0.010298721346685786
3	0.02574060166938273	0.005337016504244787	0.008091724019829811	3.7647911488205524E-4	9.22011812760065E-4	3.975678394268774E-4	0.009737430281339719	0.016579268190602556	0.020172213007054712	0.38328480800315756
4	0.19531966365058465	0.05819450689912037	0.013178703591826619	0.007287391412321704	0.004289823209295856	5.794847403732124E-4	7.58928061611275E-4	0.0020691182158714995	0.00405791346174957	0.0018180172153674642
5	0.6430693863398631	0.7405260158271487	0.16472587369270167	0.03674216642923113	0.03667598410413469	0.003615541363973478	0.0029027577639439317	0.0018639047437236315	0.00453255496029436	0.007618169342474702
6	0.04102320519210692	0.8111226219192202	0.14253317647427405	0.0269719917467255	0.0070576586916640555	0.004236468497266894	0.001393929486418702	0.006651271819319721	0.005071021826166958	0.00301200818570859
7	0.16958940732652214	0.919824784579434	0.32206963447234643	0.5925336237440377	0.5580965782191297	0.5459072530605058	0.2847218696929145	0.06163183404617943	0.005468349152313848	0.001180046365575742
8	0.02968613254549567	0.014968636267425436	0.015990289549468496	0.6928437236196426	0.9173911620806317	0.5143503902821084	0.17050024310670722	0.280100586590146	0.004698800590857629	0.0016354502525801496
9	0.0025116848818002055	0.00895686448648876	0.005377564432748689	0.27566849694045614	0.06419308555171098	0.13774976790702306	0.03138451343953291	0.2812231421694542	0.019330673983674287	0.0020871052793796636
10	0.001366155831678832	0.42031526887531623	0.0274357082273704	0.18737289410467198	0.4992409390892766	0.7333200015486919	0.9544551394396619	0.8335941241045602	0.026522642088561546	0.0030828045228418993
