State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9772407294169361	0.007855964423467247	8.818020023553822E-4	0.0	0.0	6.822577385218378E-6	0.0	0.0	0.012961976592332398	0.0010527049875237327
2	0.0012290872617222986	0.9858595643900726	0.002297719305877975	6.682946036149226E-4	0.0	3.343664690264625E-5	0.0	6.256698213183196E-4	0.009284297441920216	1.9305285710307943E-6
3	0.007855098813382536	0.12887709413357679	0.8606969131875514	0.0016480255981438856	1.309608570102207E-4	7.511902956322087E-5	2.7483661995932353E-5	2.9462024119553457E-4	6.301624689020226E-5	3.316682306902436E-4
4	6.326422160962938E-6	0.006064248006373126	2.1927916897209528E-4	0.9569418683089512	0.010131543163538863	0.014150841007476362	8.944213482834151E-4	0.006193491558329449	0.005174571278055788	2.2340973785868384E-4
5	0.0	0.0	1.1962673585756428E-4	0.0555577301098098	0.8963315147171051	0.029500167686688426	0.016643829158000997	0.0018471315925381307	0.0	0.0
6	1.104093136559391E-5	4.5929738804078793E-4	4.477639024602605E-5	0.024751296594408986	0.009711199682386823	0.9339143524777612	0.027728065634378143	6.116489585124158E-4	0.0017081788299245057	0.001060143112975655
7	0.0	0.0	1.6947835562988285E-5	0.005724520630881638	0.022581856773028982	0.11701563822746816	0.7912276322618752	0.025853546297842114	7.600630996022885E-4	0.036819794873738716
8	0.0	0.02438927476935145	2.558322492629747E-4	0.02804479566957274	0.0016028100407475486	0.0015334643020755005	0.01611461479861403	0.818961218139456	0.10587756003005845	0.0032204300008616426
9	0.04167371452395657	0.19137146631615043	6.499041912480981E-6	0.0124040455336583	0.0	0.002361838594006239	2.8975341972400714E-4	0.05478131986073513	0.663922397354721	0.033188965355135956
10	0.012104772675884038	3.1686903592226343E-4	5.258615278606258E-4	0.0018638475809268974	0.0	0.005093269097436362	0.04594428682414873	0.006405715557617114	0.1204885336512509	0.8072568440489531
